,BusinessName,X,Y,FullAddress,City,ZipCode,Neighborhood,Latitude,Longitude
9781,CHICKS ON WHEELS,-93.27843492729521,44.933951951843994,3800 NICOLLET AVE,Minneapolis,55409.0,King Field,44.93395,-93.27843
19092,ERBERTS & GERBERT'S,-93.2344113509647,44.9793947501214,316 15TH AVE SE,Minneapolis,55414.0,University of Minnesota,44.97939,-93.23441
25786,BIBUTA,-93.27016696457409,44.9764170466854,625 MARQUETTE AVE #243,Minneapolis,55402.0,Downtown West,44.976420000000005,-93.27017
42438,ROYAL COFFEE,-93.2520525114301,44.955098460191095,2601 BLOOMINGTON AVE,Minneapolis,55407.0,East Phillips,44.9551,-93.25205
48584,TACO BELL #2384,-93.227612611637,45.0038782770207,1540 STINSON PKWY,Minneapolis,55413.0,Northeast Park,45.00388,-93.22761
21772,HOOK AND LADDER THEATER,-93.23446626497808,44.947901453751605,3010 MINNEHAHA AVE,Minneapolis,55406.0,Longfellow,44.9479,-93.23447
8567,PHOENIX THEATER AND TWIG CAFE,-93.2965498376817,44.955242260986395,2605 HENNEPIN AVE,Minneapolis,55408.0,Lowry Hill East,44.95524,-93.29655
48594,TACO BELL #3310,-93.24442448605959,44.9631297001902,1931 MINNEHAHA AVE,Minneapolis,55404.0,Seward,44.96313,-93.24441999999999
17554,SUBWAY #20587,-93.28876081355111,45.0319427710509,4201 WEBBER PKWY,Minneapolis,55412.0,Webber - Camden,45.031940000000006,-93.28876
34932,FIRST AVENUE,-93.2760331008217,44.978276432019996,701 1ST AVE N,Minneapolis,55403.0,Downtown West,44.97828,-93.27603
35977,JASMINE DELI,-93.27839371079331,44.956196447004004,2532 NICOLLET AVE,Minneapolis,55404.0,Whittier,44.9562,-93.27839
25810,I HEART TACOS,-93.2182983272057,44.9926968127796,336 HOOVER ST NE,Minneapolis,55413.0,Mid - City Industrial,44.9927,-93.2183
42954,SUPERAMERICA #4034,-93.28845030638149,44.9605904902765,2200 LYNDALE AVE S,Minneapolis,55405.0,Lowry Hill East,44.96059,-93.28845
31701,STARBUCKS COFFEE #2488,-93.22951569705799,44.9741897769218,615 WASHINGTON AVE SE,Minneapolis,55414.0,University of Minnesota,44.97419,-93.22952
331,ANELACE COFFEE,-93.2478795638475,45.0124308052334,2402 CENTRAL AVE NE,Minneapolis,55418.0,Holland,45.01243,-93.24788000000001
18598,THE BLUE DOOR PUB,-93.288474372248,44.94800396781011,3006 LYNDALE AVE S,Minneapolis,55408.0,South Uptown,44.948,-93.28846999999999
12832,SONNY'S CAFE,-93.2878154166646,44.941161008730894,3403 LYNDALE AVE S,Minneapolis,55408.0,Lyndale,44.941159999999996,-93.28782
23461,DR49,-93.31859614855249,44.9126953060345,4953 XERXES AVE S,Minneapolis,55410.0,Fulton,44.9127,-93.3186
8563,ANCHOR FISH & CHIPS,-93.2643614682015,45.000579986764095,302 13TH AVE NE,Minneapolis,55413.0,Sheridan,45.00058,-93.26436
35893,JAKES CITY GRILL,-93.2663332217412,44.995482,801 MARSHALL ST NE,Minneapolis,55413.0,St. Anthony West,44.99548,-93.26633000000001
15206,EUREST @ SRI COFFEE BAR,-93.2668173463057,44.9804857080589,111 WASHINGTON AVE S,Minneapolis,55401.0,Downtown West,44.98049,-93.26682
44280,ALIMAMA EA CATERING,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
4923,CARIBOU COFFEE #1257,-93.22482793576592,44.9739853429454,917 WASHINGTON AVE SE,Minneapolis,55414.0,Prospect Park - East River Road,44.97399,-93.22483000000001
10985,HENN CTY ADULT SERV-VOC SERV PROGR,-93.2621722918204,44.974588520024795,525 PORTLAND AVE #300,Minneapolis,55415.0,Elliot Park,44.97459,-93.26217
40388,DAIRY QUEEN/ORANGE JULIUS,-93.273850439023,44.975640391762504,800 NICOLLET MALL,Minneapolis,55402.0,Downtown West,44.975640000000006,-93.27385
11334,HIAWATHA GOLF COURSE,-93.2439943852779,44.9204468098872,4553 LONGFELLOW AVE,Minneapolis,55407.0,Ericsson,44.92045,-93.24399
42983,SUPERAMERICA #4056,-93.2628411666012,44.9984368819304,300 BROADWAY ST NE,Minneapolis,55413.0,St. Anthony West,44.99844,-93.26284
46545,JUNGLE THEATER,-93.28767289265659,44.948855316782996,2951 LYNDALE AVE S,Minneapolis,55408.0,Whittier,44.948859999999996,-93.28766999999999
29723,HYATT REGENCY - CLUB LOUNGE,-93.2782643012901,44.9708598591422,1300 NICOLLET MALL,Minneapolis,55403.0,Loring Park,44.970859999999995,-93.27826
29735,HYATT REGENCY MINNEAPOLIS,-93.2782643012901,44.9708598591422,1300 NICOLLET MALL,Minneapolis,55403.0,Loring Park,44.970859999999995,-93.27826
4129,TASTE OF TARGET FIELD,-93.2785473936738,44.9813412218911,353 5TH ST N,Minneapolis,55403.0,North Loop,44.98134,-93.27855
40681,FRO-YO SOUL,-93.2809494743705,45.0097098620815,208 29TH AVE N,Minneapolis,55411.0,Hawthorne,45.00971,-93.28095
32251,TURBO TACO,-93.2809494743705,45.0097098620815,208 29TH AVE N,Minneapolis,55411.0,Hawthorne,45.00971,-93.28095
45833,DELSUR EMPANADAS,-93.2960843666341,44.9994021967743,1210 WEST BROADWAY,Minneapolis,55411.0,Jordan,44.9994,-93.29608
49585,WHOLE SUM,-93.29044013402469,44.912531300025904,824 50TH ST W,Minneapolis,55419.0,Lynnhurst,44.91253,-93.29044
30834,NEW BOHEMIA WURST & BIER HAUS,-93.2568110590682,44.9880723720591,233 HENNEPIN AVE E,Minneapolis,55413.0,Nicollet Island - East Bank,44.98807,-93.25681
26212,MN VIKINGS FOUNDATION FOOD TRUCK,-93.26355510896151,45.012321332914105,2400 UNIVERSITY AVE NE,Minneapolis,55418.0,Bottineau,45.01232,-93.26356
2985,MIDNORD EMPANADA,-93.3274010118609,44.9121827348891,3717 50TH ST W,Minneapolis,55410.0,Fulton,44.91218,-93.3274
23511,MED GRILL LLC,-93.2960843666341,44.9994021967743,1210 WEST BROADWAY,Minneapolis,55411.0,Jordan,44.9994,-93.29608
3248,OUTLAW GRILL,-93.23234382982929,44.933953747093106,3800 28TH AVE S,Minneapolis,55406.0,Standish,44.93395,-93.23234000000001
30928,RA MAC SAMMY'S,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
22019,REBEL LOBSTER,-93.23234382982929,44.933953747093106,3800 28TH AVE S,Minneapolis,55406.0,Standish,44.93395,-93.23234000000001
25830,MU MU TEA,-93.2231291559866,44.973206343768396,313 HURON BLVD SE,Minneapolis,55414.0,Prospect Park - East River Road,44.973209999999995,-93.22313
6752,LAB THEATER,-93.2743252435665,44.989598503128995,700 1ST ST N,Minneapolis,55401.0,North Loop,44.9896,-93.27433
24501,WILD GREG'S SALOON,-93.2566587038977,44.9897927354125,315 1ST AVE N,Minneapolis,55401.0,Nicollet Island - East Bank,44.989779999999996,-93.25665
26029,EMILY'S EATERY,-93.3080221404285,45.0357109487424,2124 44TH AVE N,Minneapolis,55412.0,Victory,45.035709999999995,-93.30802
51118,7 SEVEN - NAM NAM,-93.2754776554135,44.978008767084894,700 HENNEPIN AVE,Minneapolis,55403.0,Downtown West,44.97801,-93.27548
4134,TASTY TREATS AND FANCY SWEETS,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
4835,CARIBOU COFFEE #104,-93.2713748420001,44.9771861297786,651 NICOLLET MALL,Minneapolis,55402.0,Downtown West,44.97719,-93.27136999999999
